mode,condition,condition_alias,condition_display,train_seed,checkpoint_episode,f_value,coop_rate,avg_welfare
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1111,50000,3.500,0.873095460199005,50.9238184079602
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1111,50000,5.000,0.9066478076379066,74.02545968882603
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,150000,3.500,0.34157338308457713,29.662935323383085
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,150000,5.000,0.5135942165645135,48.87002986012887
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,50000,3.500,0.7150575248756219,44.602300995024876
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1212,50000,5.000,0.5805830583058306,53.157315731573156
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,150000,3.500,0.02028917910447761,16.811567164179106
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,150000,5.000,0.26575514694326574,33.00832940436901
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,50000,3.500,0.45020988805970147,34.00839552238806
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1313,50000,5.000,0.5147336162187648,48.94295143800095
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,150000,3.500,0.039606654228855724,17.58426616915423
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,150000,5.000,0.4223243752946723,43.02876001885903
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,50000,3.500,0.13992537313432835,21.597014925373134
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1414,50000,5.000,0.2733773377337734,33.496149614961496
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,150000,3.500,0.6137282338308457,40.54912935323383
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,150000,5.000,0.47512965582272515,46.40829797265441
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,50000,3.500,0.41363495024875624,32.54539800995025
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1515,50000,5.000,0.5562234794908062,51.598302687411596
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,150000,3.500,0.845693407960199,49.82773631840796
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,150000,5.000,0.9704934779192205,78.11158258683011
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,50000,3.500,0.2111318407960199,24.445273631840795
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),1616,50000,5.000,0.598066949552098,54.276284771334275
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),202,150000,3.500,0.48935012437810943,35.57400497512438
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),202,150000,5.000,0.6112289800408612,55.11865472261512
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),202,50000,3.500,0.5373911691542289,37.49564676616915
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),202,50000,5.000,0.7305516265912305,62.75530410183875
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),303,150000,3.500,0.39579446517412936,31.831778606965173
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),303,150000,5.000,0.5124548169102624,48.797108282256794
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),303,50000,3.500,0.6398087686567164,41.59235074626866
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),303,50000,5.000,0.6941301272984441,60.424328147100425
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),404,150000,3.500,0.5554648631840796,38.21859452736319
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),404,150000,5.000,0.6084787050133584,54.94263712085494
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),404,50000,3.500,0.5522776741293532,38.09110696517413
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),404,50000,5.000,0.6866650950809366,59.946566085179946
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),505,150000,3.500,0.4728700248756219,34.914800995024876
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),505,150000,5.000,0.6248624862486248,55.99119911991199
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),505,50000,3.500,0.45984919154228854,34.39396766169154
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),505,50000,5.000,0.7263476347634763,62.48624862486248
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),606,150000,3.500,0.6087531094527363,40.350124378109456
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),606,150000,5.000,0.701948766305202,60.92472104353293
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),606,50000,3.500,0.6519745024875622,42.07898009950249
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),606,50000,5.000,0.4454659751689455,44.50982241081251
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),707,150000,3.500,0.019978233830845772,16.79912935323383
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),707,150000,5.000,0.2953795379537954,34.9042904290429
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),707,50000,3.500,0.06370491293532338,18.548196517412936
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),707,50000,5.000,0.6191654879773691,55.626591230551625
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),808,150000,3.500,0.5188899253731343,36.75559701492537
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),808,150000,5.000,0.5278563570642778,49.78280685211378
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),808,50000,3.500,0.09829757462686567,19.931902985074625
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),808,50000,5.000,0.3404054691183404,37.78595002357378
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),909,150000,3.500,0.014692164179104478,16.58768656716418
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),909,150000,5.000,0.4679396511079679,45.94813767090995
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),909,50000,3.500,0.5382462686567164,37.52985074626866
no_comm,cond2,no_comm_symm,No-Comm (Symmetric Uncertainty),909,50000,5.000,0.6366886688668867,56.74807480748075
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,150000,3.500,0.44648418292083264,33.85936731683331
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,150000,5.000,0.4473954763536669,44.633310486634684
