checkpoint,condition,train_seed,eval_seed,eval_policy,ablation,history_intervention,sender_remap,cross_play,sender_id,receiver_id,receiver_is_sender,regime,true_f,n_obs,natural_token0_rate,natural_token1_rate,natural_p_cooperate,natural_logit_margin,natural_greedy_cooperate,p_cooperate_force0,p_cooperate_force1,delta_p_cooperate_1_minus_0,logit_margin_force0,logit_margin_force1,delta_logit_margin_1_minus_0,greedy_cooperate_force0,greedy_cooperate_force1,delta_greedy_cooperate_1_minus_0,action_flip_rate_force0_vs_natural,action_flip_rate_force1_vs_natural,checkpoint_episode
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_1,agent_1,1,cooperative,5.0,5917,0.6031772857867163,0.39682271421328374,0.9941373743426992,7.791066531824143,0.9983099543687679,0.9947070340232673,0.984826224666767,-0.009880809356500462,8.783884455696521,6.87095108243467,-1.9129333732618519,0.9976339361162752,0.9993239817475071,0.0016900456312320432,0.001014027378739226,0.001014027378739226,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_1,agent_2,0,cooperative,5.0,5917,0.6031772857867163,0.39682271421328374,0.6268502191274508,3.202984196906892,0.6275139428764577,0.6056563732777044,0.5902651771095959,-0.015391196168108414,2.2848057421753794,2.884819700334329,0.6000139581589495,0.6085854318066588,0.5867838431637654,-0.021801588642893357,0.051039378063207706,0.11982423525435187,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_1,agent_3,0,cooperative,5.0,5917,0.6031772857867163,0.39682271421328374,0.7644311715736032,1.9651035658004055,0.9092445496028393,0.769308647699271,0.6911682195493852,-0.07814042814988566,1.8680666734703555,1.7150575003879627,-0.1530091730823927,0.9143146864965354,0.7826601318235592,-0.13165455467297618,0.02230860233226297,0.15058306574277505,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_2,agent_0,0,cooperative,5.0,5917,0.8487409160047321,0.15125908399526788,0.8124424946629866,8.046140843818211,0.8549940848402907,0.7937828287143802,0.9764714426186846,0.18268861390430435,7.412692343320358,10.733545756594886,3.320853413274527,0.8404596924116952,0.9988169680581376,0.15835727564644245,0.014534392428595572,0.1441608923440933,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_2,agent_1,0,cooperative,5.0,5917,0.8487409160047321,0.15125908399526788,0.9941373743426992,7.791066531824143,0.9983099543687679,0.995869681570293,0.9769482932446668,-0.018921388325626235,7.904248447742175,8.709270371871158,0.8050219241289829,0.9993239817475071,0.9827615345614331,-0.016562447186074025,0.001014027378739226,0.015886428933581206,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_2,agent_2,1,cooperative,5.0,5917,0.8487409160047321,0.15125908399526788,0.6268502191274508,3.202984196906892,0.6275139428764577,0.6324008829079985,0.6879753614362183,0.05557447852821969,3.0379613093604947,4.22016984677625,1.1822085374157554,0.6334291025857698,0.6919046814263985,0.0584755788406287,0.01098529660300828,0.1134020618556701,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_2,agent_3,0,cooperative,5.0,5917,0.8487409160047321,0.15125908399526788,0.7644311715736032,1.9651035658004055,0.9092445496028393,0.7323321249908741,0.9814747016878824,0.24914257669700846,1.2653178871874171,6.225925931485094,4.960608044297676,0.8936961297955045,0.9885076897076222,0.09481155991211762,0.015548419807334799,0.07926314010478283,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_3,agent_0,0,cooperative,5.0,5917,0.930539124556363,0.06946087544363698,0.8124424946629866,8.046140843818211,0.8549940848402907,0.814015685862885,0.8127459694975171,-0.001269716365367977,8.030169164114996,7.539718869969675,-0.4904502941453217,0.8575291532871387,0.8228832178468819,-0.03464593544025689,0.010309278350515464,0.13925976001352036,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_3,agent_1,0,cooperative,5.0,5917,0.930539124556363,0.06946087544363698,0.9941373743426992,7.791066531824143,0.9983099543687679,0.9940774639936681,0.9837188962846994,-0.010358567708968718,7.876259589005871,6.386553573073498,-1.4897060159323725,0.9978029406793983,0.997464931553152,-0.0003380091262464086,0.0008450228156160216,0.0035490958255872907,150000
<SOURCE_VECSTRAIGHT_REPO>/remote-results/phase3_vecstraight_clean_msgsource_learned_15seeds_remote_20260410/train/cond1_seed1616.pt,cond1,1616,9001,greedy,none,none,none,none,agent_3,agent_2,0,cooperative,5.0,5917,0.930539124556363,0.06946087544363698,0.6268502191274508,3.202984196906892,0.6275139428764577,0.6252997777307688,0.7544249876801182,0.1291252099493491,3.1873570074725035,5.795040871282526,2.607683863810023,0.6259929018083489,0.757647456481325,0.13165455467297618,0.01842149738042927,0.2224100050701369,150000
